gene	hap1_time1_n_observed	hap1_time2_n_observed	torin_time1_n_observed	torin_time2_n_observed
ATP8A2	24	24	24	24
ATP9B	24	24	24	24
ATRNL1	24	24	24	24
ATXN1L	24	24	24	24
ATXN7L2	24	24	24	24
ECHDC2	24	24	24	24
AXIN2	24	24	24	24
B4GALT6	24	24	24	24
BACH2	24	24	24	24
BAG4	24	24	24	24
UNC13D	24	24	24	24
PIK3AP1	24	24	24	24
BCORL1	24	24	24	24
TJAP1	24	24	24	24
PCGF2	24	24	24	24
BMPR1B	24	24	24	24
BRD9	24	24	24	24
BRMS1L	24	24	24	24
BTBD2	24	24	24	24
BTBD6	24	24	24	24
KCTD20	24	24	24	24
FBXW11	24	24	24	24
CAB39L	24	24	24	24
CALB2	24	24	24	24
CALM2	24	24	24	24
CAMKK2	24	24	24	24
CAND2	24	24	24	24
CLGN	24	24	24	24
CAPRIN2	24	24	24	24
CASKIN2	24	24	24	24
CASP7	24	24	24	24
CBX5	24	24	24	24
CC2D1B	24	24	24	24
CCDC102B	24	24	24	24
CCNB2	24	24	24	24
CCND2	24	24	24	24
CCNE2	24	24	24	24
CCNG2	24	24	24	24
CCNJL	24	24	24	24
CCNL2	24	24	24	24
CCNT2	24	24	24	24
CCNYL1	24	24	24	24
TSPAN11	24	24	24	24
UBE2R2	24	24	24	24
CDK3	24	24	24	24
CDK13	24	24	24	24
CDK15	24	24	24	24
CDKL3	24	24	24	24
CEP85L	24	24	24	24
CERS6	24	24	24	24
CHCHD6	24	24	24	24
CHD2	24	24	24	24
CHD5	24	24	24	24
CHIC2	24	24	24	24
CHMP4C	24	24	24	24
CHPF2	24	24	24	24
CHSY3	24	24	24	24
CLCN4	24	24	24	24
CLIP2	24	24	24	24
NPAS2	24	24	24	24
CLTCL1	24	24	24	24
CNKSR3	24	24	24	24
CNOT8	24	24	24	24
THBS3	24	24	24	24
COPG2	24	24	24	24
COPZ2	24	24	24	24
COQ10B	24	24	24	24
CORO2B	24	24	24	24
CRABP2	24	24	24	24
CRELD2	24	24	24	24
GADL1	24	24	24	24
CSNK1E	24	24	24	24
CSNK2A2	24	24	24	24
CTBP2	24	24	24	24
RAVER2	24	24	24	24
CTPS2	24	24	24	24
CUL4B	24	24	24	24
CUX2	24	24	24	24
CYB5B	24	24	24	24
DAAM2	24	24	24	24
DAB2	24	24	24	24
DACH2	24	24	24	24
DCHS2	24	24	24	24
SEC23IP	24	24	24	24
DDR2	24	24	24	24
DENND6B	24	24	24	24
DQX1	24	24	24	24
IFIH1	24	24	24	24
DIP2C	24	24	24	24
DLG4	24	24	24	24
DLG3	24	24	24	24
DMRTA2	24	24	24	24
DNAH17	24	24	24	24
DNAJA4	24	24	24	24
DOCK4	24	24	24	24
DOK3	24	24	24	24
DOPEY2	24	24	24	24
MACF1	24	24	24	24
DUSP22	24	24	24	24
DVL3	24	24	24	24
DYNLL2	24	24	24	24
DYRK3	24	24	24	24
E2F8	24	24	24	24
EBF3	24	24	24	24
EEF1A2	24	24	24	24
EGR3	24	24	24	24
EHBP1L1	24	24	24	24
EIF1B	24	24	24	24
EIF4A2	24	24	24	24
EIF4G3	24	24	24	24
ELAVL2	24	24	24	24
ELK4	24	24	24	24
ELMO3	24	24	24	24
ELMOD2	24	24	24	24
ELOVL7	24	24	24	24
EMC9	24	24	24	24
EMX2	24	24	24	24
ENOX2	24	24	24	24
ENTPD6	24	24	24	24
SRCAP	24	24	24	24
