gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	time1_residual_logFC	time1_fdr	time1_significant	time1_response
COA5	-3.59088814874054	-2.43091102606046	0.0711220338425886	1.15997712268008	0.366996510760824	FALSE	None
EXOSC1	-1.33695401240572	-0.179766022840048	0.0100883801177743	1.15718798956567	0.118138234678924	FALSE	None
PAICS	-2.17055721685453	-1.01686108721341	1.55495007914e-05	1.15369612964112	0.00126823910840734	TRUE	Suppressor
RPL28	-1.17477125022154	-0.0224013991020467	0.286848106976642	1.15236985111949	0.674194564880895	FALSE	None
PSIP1	1.1373392190573	2.28881581089115	3.86803502273631e-07	1.15147659183385	8.17386128213687e-05	TRUE	Suppressor
ZMYND8	-0.883304105553301	0.261187921410477	0.0145191723023937	1.14449202696378	0.1418059496509	FALSE	None
TSFM	-4.29670761784275	-3.15674501384722	0.0414486874576632	1.13996260399553	0.266153243081044	FALSE	None
SCO2	-3.87113487831921	-2.7423488436736	0.0571834398289652	1.12878603464561	0.320682523238672	FALSE	None
PRPF39	-4.4899799027144	-3.36126436381782	0.0398353668996694	1.12871553889658	0.26333530497969	FALSE	None
TRIM71	0.156108944559072	1.28358826746992	0.00166521486418813	1.12747932291085	0.0353496981900029	FALSE	None
RRP12	-4.46612836881199	-3.34345421018222	0.134294340993755	1.12267415862978	0.492492783797252	FALSE	None
TRIM28	-0.70724978091026	0.413677727078901	0.0863876834090394	1.12092750798916	0.402980077876448	FALSE	None
PDE12	-2.61888619619798	-1.49851021217619	0.0400344992857045	1.12037598402179	0.26333530497969	FALSE	None
CNOT10	-0.826905702895972	0.291530342760384	0.0036743109353476	1.11843604565636	0.0614634208321231	FALSE	None
TRIP12	0.291667915201411	1.40736715272659	0.00166521486418813	1.11569923752517	0.0353496981900029	FALSE	None
CD47	-0.855523755652921	0.260156685760246	0.00240808855784184	1.11568044141317	0.045141950425027	FALSE	None
WNK1	-0.0425593074673642	1.07270588859289	2.65476137060469e-05	1.11526519606025	0.00173830783266777	TRUE	Suppressor
ILF2	-3.57232565578329	-2.45886439684274	0.236895180451923	1.11346125894055	0.630965263416279	FALSE	None
COG4	-3.45347129630085	-2.34226080078766	0.041882088814013	1.11121049551319	0.267668884316674	FALSE	None
KATNB1	-4.07468963255464	-2.96644227847206	0.0420191709394338	1.10824735408259	0.267668884316674	FALSE	None
ERCC1	-2.85378069146761	-1.74912439185874	0.0463893078669541	1.10465629960887	0.282800854808085	FALSE	None
PTCD3	-4.38644399883157	-3.28896667377056	0.0127990313408827	1.097477325061	0.133442215390427	FALSE	None
DDX27	-4.25088013932517	-3.1549516081556	0.318372876531192	1.09592853116957	0.702432246173182	FALSE	None
LENG8	-1.66427318781001	-0.568525265576495	0.0891947730984869	1.09574792223352	0.402980077876448	FALSE	None
AEN	-0.833051882432494	0.262247050400407	0.053205238502657	1.0952989328329	0.309963851878261	FALSE	None
DLST	-4.48446953033413	-3.39032058120529	0.046364969781791	1.09414894912884	0.282800854808085	FALSE	None
MRPL2	-3.07264398770298	-1.97951444568035	0.0339973350066873	1.09312954202262	0.241303222055098	FALSE	None
ADRM1	-0.362861671971653	0.726786600145342	0.00864180912639655	1.08964827211699	0.105725712180573	FALSE	None
RGP1	-1.08876387925348	0.000436165804859738	0.183432327642645	1.08920004505834	0.569771464739928	FALSE	None
ISCA1	-4.8099558981112	-3.72874475496481	0.122758994445722	1.08121114314638	0.469543048296208	FALSE	None
MARCH5	-4.69515304763408	-3.61687132237081	0.216856638760083	1.07828172526327	0.599029419842916	FALSE	None
NDUFA8	-3.16214424644452	-2.08614205186686	0.170878752639544	1.07600219457765	0.549426668184264	FALSE	None
XRCC2	-2.79793132193495	-1.72323134349057	0.0164317222193857	1.07469997844438	0.150080700585312	FALSE	None
MRPL16	-4.12613337536652	-3.05150821182969	0.169447123175595	1.07462516353682	0.54934426474431	FALSE	None
FANCL	-2.05872187441862	-0.987284194519753	5.61896554302828e-05	1.07143767989887	0.00295788197814145	TRUE	Suppressor
PAN2	0.207723613012904	1.27823776696572	0.000394049621216224	1.07051415395281	0.0139842495346124	FALSE	None
HNRNPM	-4.15950560666492	-3.09490510303853	0.119638351534378	1.0646005036264	0.46466056498189	FALSE	None
GART	-2.29062743371463	-1.22761702728673	0.0161284599870891	1.0630104064279	0.150080700585312	FALSE	None
PKN1	-0.499272306176405	0.558748692405551	0.00689046029656476	1.05802099858196	0.0931213660428185	FALSE	None
ATXN7L3	-1.51534360780341	-0.459421458175866	0.0453338990979227	1.05592214962754	0.279518961414115	FALSE	None
PIAS1	-0.925876890884897	0.128362545978715	0.000577781284796198	1.05423943686361	0.0185248634001209	FALSE	None
AKIRIN2	-2.1480220271933	-1.096470718506	0.0969423357222676	1.05155130868729	0.418649360499853	FALSE	None
ATP5H	-3.51638407874012	-2.46757606889227	0.0509808065913788	1.04880800984785	0.298877389461942	FALSE	None
GTPBP10	-4.57814003897819	-3.5331364526265	0.0119689063170819	1.04500358635169	0.130008050159144	FALSE	None
MTG2	-4.91786225678691	-3.87471968957534	0.24279425848556	1.04314256721156	0.640279662519825	FALSE	None
CDKN1B	0.306274572311707	1.34409003665505	0.000695550057788443	1.03781546434334	0.0212737645964373	FALSE	None
ILF3	-2.82979279617966	-1.80234534772047	0.0608100964434879	1.02744744845919	0.333201397267558	FALSE	None
L3MBTL2	-1.02901070992777	-0.00188874042529689	0.0143533850412107	1.02712196950248	0.1418059496509	FALSE	None
SAFB2	-0.255019022581205	0.771874038573163	0.0145191723023937	1.02689306115437	0.1418059496509	FALSE	None
SLC1A5	-0.738971241431365	0.282119107395494	0.0453338990979227	1.02109034882686	0.279518961414115	FALSE	None
ALDH18A1	-0.515034711859413	0.505160299839089	0.000996702371208616	1.0201950116985	0.0254597215590597	FALSE	None
OGT	-4.87619512612425	-3.85799652456624	0.280091810493195	1.01819860155801	0.671906131035278	FALSE	None
