gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	hap1_time2_observed_logFC	torin_time2_observed_logFC	time2_pval	time1_residual_logFC	time2_residual_logFC	time1_fdr	time2_fdr	time1_significant	time2_significant	time1_response	time2_response
MTMR2	-0.334884722402643	0.630543376192808	0.000577781284796198	-0.401717598840884	0.774433488126673	0.0263540443400591	0.965428098595452	1.17615108696756	0.0185248634001209	0.167835550872513	FALSE	FALSE	None	None
CNOT2	-0.370562002133464	0.0947968363254523	0.0329436416982427	-0.234915993458952	-0.16439030633254	0.682673807575057	0.465358838458916	0.0705256871264119	0.234181942286132	0.894518188110608	FALSE	FALSE	None	None
MRPL39	-4.6529122735115	-4.52910829781368	0.802730422676527	-4.74149086879225	-4.91168054066831	1	0.123803975697824	-0.170189671876058	0.962178063617147	1	FALSE	FALSE	None	None
RFC2	-1.7953182436528	-3.02933700679513	0.19775609197219	-2.30615864823163	-2.62075884994235	0.588575000190825	-1.23401876314233	-0.314600201710724	0.581642493512966	0.850696829678176	FALSE	FALSE	None	None
TAF6	-4.21121812410078	-4.5402120559532	0.647324861104197	-4.88588875218151	-5.2377606531865	0.692901041997853	-0.328993931852418	-0.351871901004991	0.91476575388498	0.900353211801348	FALSE	FALSE	None	None
ATRAID	0.829338344900254	0.357248329223181	0.566774494589651	0.432821706624642	0.0280945048480714	0.693517928900974	-0.472090015677073	-0.404727201776571	0.870189770590253	0.900353211801348	FALSE	FALSE	None	None
MYDGF	-0.274147171929997	0.318636086148937	0.00793338809846528	-1.00620698792132	0.466532903119532	0.0112560077030628	0.592783258078935	1.47273989104086	0.100496788200995	0.100706178048555	FALSE	FALSE	None	None
PPIH	-2.74170508799597	-3.13527216260983	0.216856638760083	-3.46090758738644	-4.8126371430776	0.0145191723023937	-0.393567074613864	-1.35172955569116	0.599029419842916	0.115779814809311	FALSE	FALSE	None	None
AR	0.321710074264952	0.0408740856461267	0.366875192434742	-0.0555799722680672	-0.323041363018538	0.594883930583728	-0.280835988618826	-0.26746139075047	0.740922141454873	0.850696829678176	FALSE	FALSE	None	None
CHMP5	-0.744337375327846	-1.30072397634717	0.0612792417000994	-1.12655679720089	-1.76534927530911	0.0380668567396754	-0.556386601019327	-0.638792478108223	0.333201397267558	0.209932167239325	FALSE	FALSE	None	None
ALDH3A2	-0.00617826005277733	-0.0764285703526164	0.566774494589651	-0.0857269426145177	-0.742010010374138	0.0674961538838424	-0.0702503102998391	-0.656283067759621	0.870189770590253	0.284013554747596	FALSE	FALSE	None	None
OTUD4	-0.0141444169673157	-0.323860091740002	0.0234961466635103	-0.235432989381195	-0.883502381006979	0.0031553753566973	-0.309715674772687	-0.648069391625784	0.186405436584743	0.0465693334390023	FALSE	FALSE	None	None
XIAP	0.749746918991858	0.0578263207628515	0.00723537330695877	0.705870912052999	-0.371086627345533	0.0020963725474254	-0.691920598229006	-1.07695753939853	0.096345991572875	0.0367774942376629	FALSE	FALSE	None	None
ASCC3	-4.32984983144879	-5.29741020261963	0.382086323615487	-5.28817776160046	-5.72899022739603	0.531075249034333	-0.967560371170846	-0.440812465795573	0.757132052628987	0.820350879618762	FALSE	FALSE	None	None
RRBP1	-0.076178588757703	0.112724480330449	0.934887200362667	-0.089492300548355	0.025373974341846	0.712965124764759	0.188903069088152	0.114866274890201	0.992983914664391	0.906364469519104	FALSE	FALSE	None	None
