gene1	gene2	time1_n_observed	time2_n_observed	n_expected_gene1_cas9	n_expected_gene2_cpf1
LDB1	LDB2	15	15	3	5
LDB2	LDB1	15	15	3	5
LDHA	LDHB	15	15	6	10
LDHB	LDHA	5	5	2	10
LDHA	LDHC	15	15	6	10
LDHC	LDHA	15	15	6	10
LDHB	LDHC	5	5	2	10
LDHC	LDHB	15	15	6	10
LETM1	LETM2	15	15	3	5
LETM2	LETM1	15	15	3	5
LHX2	LHX9	15	15	3	5
LHX9	LHX2	15	15	3	5
LHX6	LHX8	15	15	3	5
LHX8	LHX6	15	15	3	5
LMO7	LIMCH1	15	15	3	5
LIMCH1	LMO7	15	15	3	5
LIMK1	LIMK2	15	15	3	5
LIMK2	LIMK1	15	15	3	5
LIN28B	LIN28A	15	15	3	5
LIN28A	LIN28B	15	15	3	5
LLGL1	LLGL2	15	15	3	5
LLGL2	LLGL1	15	15	3	5
LMBR1	LMBR1L	15	15	3	5
LMBR1L	LMBR1	15	15	3	5
TES	LMCD1	15	15	3	5
LMCD1	TES	15	15	3	5
TRIP6	LPP	15	15	3	5
LPP	TRIP6	15	15	3	5
PLPPR3	PLPPR4	15	15	3	5
PLPPR4	PLPPR3	9	9	3	3
LRBA	NBEA	15	15	3	5
NBEA	LRBA	15	15	3	5
LRP1	LRP1B	15	15	3	5
LRP1B	LRP1	15	15	3	5
SCRIB	LRRC1	15	15	3	5
LRRC1	SCRIB	15	15	3	5
LSM14A	LSM14B	15	15	3	5
LSM14B	LSM14A	15	15	3	5
LYPLA1	LYPLA2	9	9	3	3
LYPLA2	LYPLA1	15	15	3	5
LYSMD3	LYSMD4	15	15	3	5
LYSMD4	LYSMD3	15	15	3	5
MAB21L1	MAB21L2	15	15	3	5
MAB21L2	MAB21L1	15	15	3	5
MACROD1	MACROD2	15	15	3	5
MACROD2	MACROD1	15	15	3	5
MAGT1	TUSC3	15	15	3	5
TUSC3	MAGT1	15	15	3	5
MAN1A1	MAN1C1	15	15	3	5
MAN1C1	MAN1A1	15	15	3	5
MAN2A2	MAN2A1	15	15	3	5
MAN2A1	MAN2A2	15	15	3	5
MAP2K2	MAP2K1	15	15	3	10
MAP2K1	MAP2K2	12	12	6	4
MAP2K3	MAP2K6	15	15	3	5
MAP2K6	MAP2K3	15	15	3	5
MAP3K3	MAP3K2	15	15	3	5
MAP3K2	MAP3K3	15	15	3	5
WDR62	MAPKBP1	15	15	3	5
MAPKBP1	WDR62	15	15	3	5
MARCH2	MARCH3	15	15	3	5
MARCH3	MARCH2	15	15	3	5
MAT2A	MAT1A	15	15	3	5
MAT1A	MAT2A	15	15	3	5
MBD2	MBD3	6	6	3	2
MBD3	MBD2	15	15	3	5
MBNL1	MBNL2	15	15	6	10
MBNL2	MBNL1	15	15	6	10
MBNL1	MBNL3	15	15	6	10
MBNL3	MBNL1	15	15	6	10
MBNL2	MBNL3	15	15	6	10
MBNL3	MBNL2	15	15	6	10
